trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
4150,False,"{'a': 0.002, 'e': 0.00024901435812734363}",20,10,19.966629866657616,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4151,False,"{'a': 0.002, 'e': 0.00024851682710795185}",25,0,40.17266321653031,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4152,False,"{'a': 0.002, 'e': 0.0002480202901562003}",20,10,15.20950549471162,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4153,False,"{'a': 0.002, 'e': 0.00024752474528593957}",20,14,13.274989029561317,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4154,False,"{'a': 0.002, 'e': 0.00024703019051499004}",30,17,25.8253490711106,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4155,False,"{'a': 0.002, 'e': 0.0002465366238651324}",25,12,22.399575653046387,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4156,False,"{'a': 0.002, 'e': 0.00024604404336209853}",35,23,23.290575771353545,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4157,False,"{'a': 0.002, 'e': 0.00024555244703556656}",20,10,17.977271799099547,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4158,False,"{'a': 0.002, 'e': 0.0002450618329191497}",25,11,26.36265030515883,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4159,False,"{'a': 0.002, 'e': 0.00024457219905039127}",25,16,16.73792381342342,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4160,False,"{'a': 0.002, 'e': 0.0002440835434707556}",20,15,8.58071577394541,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4161,False,"{'a': 0.002, 'e': 0.0002435958642256188}",20,0,23.753714258477316,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4162,False,"{'a': 0.002, 'e': 0.00024310915936426368}",20,12,13.594162229858796,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4163,False,"{'a': 0.002, 'e': 0.0002426234269398706}",25,17,17.200554481655864,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4164,False,"{'a': 0.002, 'e': 0.00024213866500950838}",30,11,31.752478986305412,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
4165,False,"{'a': 0.002, 'e': 0.00024165487163412946}",20,13,13.84265934711311,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4166,False,"{'a': 0.002, 'e': 0.00024117204487855885}",20,6,24.642834155884117,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4167,False,"{'a': 0.002, 'e': 0.0002406901828114893}",20,10,17.39244430130384,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4168,False,"{'a': 0.002, 'e': 0.00024020928350547237}",30,22,14.38981801561421,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4169,False,"{'a': 0.002, 'e': 0.0002397293450369093}",20,2,28.000881724599665,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4170,False,"{'a': 0.002, 'e': 0.00023925036548604604}",30,0,44.67938178446747,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
4171,False,"{'a': 0.002, 'e': 0.00023877234293696414}",20,0,27.433002229371457,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4172,False,"{'a': 0.002, 'e': 0.0002382952754775719}",25,16,20.880756806585104,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4173,False,"{'a': 0.002, 'e': 0.00023781916119959974}",20,10,16.531547993461494,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4174,False,"{'a': 0.002, 'e': 0.00023734399819858905}",20,16,8.09290996659284,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4175,False,"{'a': 0.002, 'e': 0.0002368697845738876}",25,14,22.43550934278857,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4176,False,"{'a': 0.002, 'e': 0.00023639651842864072}",25,13,22.727247746057138,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
